reg_num,number_ipc,number_word_abstract,number_word_ft,number_citation,number_citation_nation,number_priority,number_priority_nation,number_claim,number_claim_indep,number_claim_dep,number_claim_altered,number_applicant,number_foreign_applicant,number_applicant_nation,number_assignee,number_avgword_indep,average_gap_citation,delivery_time,number_family,number_foreign_family,number_family_nation,ipc_activity,ipc_comp,ipc_size,ipc_section,CBPs,ipc_A,ipc_B,ipc_C,ipc_D,ipc_E,ipc_F,ipc_G,ipc_H
7785037,3,73,7242,22,2,0,0,22,2,20,0,2,0,1,0,94,22,2,2,0,1,113,1.84,962.5,0,0,0,0,0,0,1,1,0,0
6406216,3,103,164,28,1,0,0,28,28,0,0,1,1,1,0,54,32,2,0,0,0,329.3333,2.092335024,985,0,0,0,0,0,0,1,1,0,0
6487757,3,78,160,12,1,1,1,12,12,0,0,2,2,1,1,34,16,2,13,13,8,322.5,1.64590122,990.5,0,1,0,0,0,0,1,1,0,0
6971817,2,157,6118,11,1,0,0,8,3,5,26,5,0,1,1,48,17,2,31,23,14,135.5,2.136289267,1020,0,1,0,0,0,0,1,1,0,0
6474907,3,104,165,11,1,1,0,13,12,1,4,2,2,1,0,79,33,2,4,2,2,367.6667,1.797478879,1096.6667,0,0,0,0,0,0,1,1,0,0
6698980,3,162,166,7,1,0,0,8,8,0,19,1,1,1,1,154,18,3,2,0,1,195.5,1.801211802,1102,0,1,0,0,0,0,1,1,0,0
6692083,4,134,170,31,1,0,0,17,17,0,1,1,1,1,1,53,10,2,2,0,1,205,1.67001522,1133.5,0,1,0,0,0,0,1,1,0,0
6491028,2,93,157,12,1,0,0,5,5,0,0,2,2,1,1,94,8,2,5,0,1,403.5,1.954456094,1168,0,0,0,0,0,0,1,1,0,0
6371691,6,62,157,24,1,8,1,115,83,32,0,4,4,1,1,35,15,4,33,30,13,392.6667,1.792398646,1168,0,1,0,0,0,0,1,1,0,0
7308789,4,78,6123,11,3,1,1,2,1,1,0,1,1,1,1,360,8,3,12,10,6,117,2.096666667,1172,0,0,0,0,0,0,1,1,0,0
6866343,2,163,3153,6,1,1,1,11,1,10,5,2,2,1,1,179,22,2,10,8,5,171.5,2.064962878,1305,0,1,0,0,0,0,1,1,0,0
6560934,4,71,158,19,1,0,0,19,19,0,0,1,1,1,1,47,11,1,0,0,0,305,1.735752534,1307.6667,0,0,0,0,0,0,1,1,0,0
6416269,2,148,165,6,1,0,0,18,18,0,0,2,2,2,0,75,45,2,0,0,0,418.5,1.707266934,1318,0,1,0,0,0,0,1,1,0,0
6938631,2,92,7232,10,1,0,0,13,2,11,0,1,0,1,0,183,24,2,2,0,1,183,1.934171024,1351,0,1,0,0,0,0,1,1,0,0
6374848,3,109,167,28,1,0,0,20,20,0,0,1,1,1,0,67,42,3,0,0,0,389,1.73092643,1387,0,0,0,0,0,0,1,1,0,0
6408873,2,116,161,16,1,0,0,8,8,0,0,2,2,1,1,79,34,2,11,11,6,389,1.73092643,1387,0,1,0,0,0,0,1,1,0,0
7530225,2,151,9685,9,4,2,1,7,1,6,6,1,1,1,1,218,21,2,4,2,2,122.5,2.059484137,1394.5,0,0,0,0,0,0,1,1,0,0
6484329,2,73,159,12,1,0,0,6,6,0,0,1,1,1,0,44,26,2,1,1,1,411.5,1.773061262,1410.5,0,0,0,0,0,0,1,1,0,0
6561000,3,187,171,12,1,1,1,4,4,0,0,1,1,1,1,78,15,2,8,6,6,370.5,1.672994269,1449,0,1,0,0,0,0,1,1,0,0
6601417,4,152,185,13,1,1,1,7,7,0,5,1,1,1,1,66,32,2,23,21,14,370.5,1.672994269,1449,0,1,0,0,0,0,1,1,0,0
6776423,2,173,179,8,1,0,0,10,10,0,0,1,1,1,1,49,45,1,5,5,2,259.5,1.9633198,1449,0,1,0,0,0,0,1,1,0,0
8123227,2,56,8240,21,2,1,1,17,3,14,1,5,5,1,1,100,10,4,8,6,5,127.5,3.679133858,1456,0,0,0,0,0,0,1,1,0,0
6557572,2,113,178,10,1,1,1,5,5,0,2,1,1,1,0,75,31,2,7,5,4,357,1.645186335,1508.5,0,0,0,0,0,0,1,1,0,0
6609718,4,68,167,24,1,0,0,6,6,0,0,1,1,1,0,225,17,1,1,0,1,365,1.717865829,1513,0,1,0,0,0,0,1,1,0,0
6457725,5,137,161,13,1,0,0,6,6,0,0,1,1,1,1,75,18,2,0,0,0,518,1.748457124,1542.5,0,0,0,0,0,0,1,1,0,0
6769446,3,142,174,5,1,0,0,7,7,0,0,3,3,1,1,136,9,1,0,0,0,300,1.866372036,1591,0,1,0,0,0,0,1,1,0,0
6481927,4,125,158,15,1,0,0,11,11,0,0,1,1,1,0,57,24,2,2,0,1,524.6667,1.923391601,1609,0,0,0,0,0,0,1,1,0,0
6464229,5,111,165,12,1,1,1,14,1,13,0,4,4,1,1,18,20,2,2,2,2,524.6667,1.923391601,1609,0,0,0,0,0,0,1,1,0,0
6539649,2,120,178,5,1,4,1,20,20,0,8,5,5,1,1,54,24,2,19,17,5,367,2.170255217,1668,0,0,0,0,0,0,1,1,0,0
6805539,2,75,155,8,1,1,1,23,23,0,7,1,1,1,1,30,18,2,19,17,9,272,2.058409868,1750.5,0,1,0,0,0,0,1,1,0,0
6941721,4,139,2252,14,4,1,1,6,1,5,0,1,1,1,1,265,9,3,19,17,13,232,1.679014867,1756.75,0,0,0,0,0,0,1,1,0,0
6845841,4,79,18516,41,3,0,0,25,6,19,2,4,0,1,1,127,13,3,2,0,1,213,2.021411771,1765.6667,0,1,0,0,0,0,1,1,0,0
6556780,2,160,137,9,1,1,1,15,15,0,6,3,3,1,1,45,25,1,10,8,4,416.5,2.000322558,1787.5,0,1,0,0,0,0,1,1,0,0
6536462,3,134,168,13,1,0,0,23,23,0,0,1,1,1,0,61,37,1,0,0,0,402.5,2.048018722,1789.5,0,0,0,0,0,0,1,1,0,0
6495034,2,146,164,12,1,0,0,32,32,0,0,2,2,1,0,65,18,2,0,0,0,527,1.768426431,1794,0,0,0,0,0,0,1,1,0,0
6895720,2,131,14001,28,1,0,0,44,6,38,1,1,0,1,1,154,20,2,4,2,2,240.5,1.812739896,1825,0,1,0,0,0,0,1,1,0,0
6517293,3,105,175,15,1,0,0,15,15,0,0,3,3,2,0,106,9,1,2,0,1,418.6667,1.869588048,1827.3333,0,1,0,0,0,0,1,1,0,0
6360502,3,246,157,39,1,0,0,22,22,0,0,1,1,1,1,193,12,2,0,0,0,598,1.852167069,1938,0,1,0,0,0,0,1,1,0,0
6427400,2,73,148,11,1,0,0,1,1,0,0,1,1,1,0,269,6,1,2,0,1,626,1.858689887,1944.5,0,0,0,0,0,0,1,1,0,0
6575864,3,157,165,10,1,0,0,7,0,7,0,1,1,1,1,0,6,2,11,11,8,502,2.101478613,1978.5,0,1,0,0,0,0,1,1,0,0
6551030,2,212,170,30,1,2,1,14,14,0,0,1,1,1,1,48,20,3,18,18,10,488.5,1.785151586,2031,0,1,0,0,0,0,1,1,0,0
6799607,2,198,162,92,1,0,0,19,19,0,0,3,3,1,1,48,29,1,9,0,1,337.5,1.767722066,2041.5,0,0,0,0,0,0,1,1,0,0
7963212,2,136,8730,12,2,1,1,20,2,18,0,1,1,1,1,130,16,3,7,5,3,177.5,2.23276471,2053,0,0,0,0,0,0,1,1,0,0
6682264,2,136,182,10,1,0,0,12,12,0,0,1,1,1,1,86,13,2,0,0,0,343.5,1.888601186,2078.5,0,1,0,0,0,0,1,1,0,0
7441743,5,115,2232,35,3,1,1,5,1,4,5,4,4,2,1,135,28,4,7,5,4,176.3333,1.824811295,2117,0,0,0,0,0,0,1,1,0,0
6830063,3,141,165,33,1,0,0,4,4,0,0,1,1,1,1,61,41,1,0,0,0,357,1.851953872,2144.5,0,1,0,0,0,0,1,1,0,0
6789335,2,47,167,7,1,1,1,13,13,0,0,4,4,1,1,58,11,4,9,9,5,380,2.174976075,2186,0,0,0,0,0,0,1,1,0,0
7380561,2,109,1969,12,1,0,0,8,2,6,5,2,2,1,0,163,19,2,3,1,2,184.5,1.672672583,2194,0,0,0,0,0,0,1,1,0,0
6722384,2,117,167,12,1,0,0,21,21,0,1,1,1,1,0,59,15,2,2,0,1,419,1.928590313,2208.5,0,1,0,0,0,0,1,1,0,0
7328593,2,113,4925,26,7,1,1,18,3,15,7,3,3,1,1,122,20,3,9,7,4,153,2.438078292,2234.5,0,0,0,0,0,0,1,1,0,0
6719004,2,149,148,56,1,0,0,13,13,0,29,2,2,1,0,67,39,2,2,0,1,423.5,1.893897678,2244.5,0,0,0,0,0,0,1,1,0,0
7637063,6,40,5092,23,4,1,1,14,6,8,0,1,1,1,1,454,19,7,14,12,8,208.25,1.963283491,2257.75,0,0,0,0,0,0,1,1,0,0
8276245,2,149,9101,7,1,1,1,6,1,5,1,1,1,1,0,234,55,2,5,3,3,210,2.073881173,2258,0,0,0,0,0,0,1,1,0,0
7497053,4,161,8700,30,3,1,1,17,2,15,0,1,1,1,0,335,57,4,14,12,8,190.6667,1.771607265,2336.3333,0,0,0,0,0,0,1,1,0,0
8341894,5,161,5865,55,8,1,1,5,3,2,2,4,4,1,1,170,15,3,7,5,4,260,1.98013196,2386.3333,0,0,0,0,0,0,1,1,0,0
6694684,4,142,163,62,1,0,0,5,5,0,18,3,3,1,1,34,14,2,14,12,9,407.6667,1.832015813,2396,0,0,0,0,0,0,1,1,0,0
6899491,2,111,8446,8,2,2,1,9,1,8,23,1,1,1,1,194,13,3,26,24,16,331,1.808096591,2409.5,0,1,0,0,0,0,1,1,0,0
6953306,2,136,9197,27,1,0,0,10,1,9,1,1,0,1,1,147,13,2,3,0,1,331,1.808096591,2409.5,0,1,0,0,0,0,1,1,0,0
6779949,2,90,170,7,1,1,1,16,16,0,7,6,6,2,1,77,14,2,9,7,6,412.5,1.708488616,2443.5,0,1,0,0,0,0,1,1,0,0
6742303,3,156,171,6,1,1,1,14,1,13,1,1,1,1,1,15,13,2,17,15,11,465.5,2.282776337,2444,0,1,0,0,0,0,1,1,0,0
7216901,2,109,4356,37,4,1,1,20,4,16,9,2,2,1,2,204,18,4,12,10,6,263,2.192118474,2514,0,0,0,0,0,0,1,1,0,0
7384213,3,89,35852,6,1,0,0,41,6,35,4,2,2,1,0,287,42,5,2,0,1,222.6667,1.784257942,2519.6667,0,0,0,0,0,0,1,1,0,0
6810961,2,149,151,29,1,0,0,24,24,0,0,3,3,1,0,77,38,2,0,0,0,520,2.326388889,2581.5,0,0,0,0,0,0,1,1,0,0
7040056,4,151,13678,32,2,0,0,24,3,21,0,2,0,1,0,142,14,2,2,0,1,375,2.155245184,2619.6667,0,0,0,0,0,0,1,1,0,0
6868860,3,114,4290,35,5,0,0,22,3,19,0,1,0,1,1,202,38,2,13,7,8,432,1.964582881,2640.5,0,0,0,0,0,0,1,1,0,0
6899120,5,164,7397,18,1,0,0,23,2,21,0,1,0,1,1,133,29,1,0,0,0,432,1.964582881,2640.5,0,1,0,0,0,0,1,1,0,0
7726923,4,100,2894,27,3,1,1,4,1,3,11,2,2,1,1,288,30,7,11,9,8,339,2.025203174,2707.6667,0,0,0,0,0,0,1,1,0,0
6409176,3,110,166,10,1,0,0,31,31,0,0,1,1,1,1,36,18,4,15,13,8,885.5,2.104818163,2740.5,0,1,0,0,0,0,1,1,0,0
6484740,2,116,167,5,1,0,0,12,12,0,0,1,1,1,0,54,8,2,2,0,1,885.5,2.104818163,2740.5,0,1,0,0,0,0,1,1,0,0
6386487,2,111,181,10,1,1,1,5,0,5,0,2,2,1,1,0,37,2,17,17,9,885.5,2.104818163,2740.5,0,1,0,0,0,0,1,1,0,0
6695061,4,64,142,27,1,0,0,67,67,0,2,3,3,1,1,43,15,2,2,0,1,509.3333,2.365402597,2755.6667,0,1,0,0,0,0,1,1,0,0
6390199,2,116,162,5,1,1,1,17,16,1,0,1,1,1,1,57,18,2,14,14,11,833.5,2.135267267,2756.5,0,1,0,0,0,0,1,1,0,0
6763845,4,63,152,22,1,0,0,27,27,0,2,1,1,1,0,48,13,2,2,0,1,499.6667,1.916589205,2807.3333,0,0,0,0,0,0,1,1,0,0
6945735,3,66,7351,17,3,0,0,7,4,3,2,1,0,1,0,220,17,1,2,0,1,390.5,1.910449911,2834,0,0,0,0,0,0,1,1,0,0
6733413,5,113,167,7,1,1,1,2,0,2,1,2,2,1,1,0,8,2,15,13,8,539.5,2.064624705,2844.5,0,0,0,0,0,0,1,1,0,0
